"SR.
NO.",Town,Revenue Circle,Property Area,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
498,Depalpur,Depal Pur- II,Shamsia Town,Residential,Off Road,,,,330750,Marla,879
499,Depalpur,Dhulyana,Lohli Wala,Residential,Off Road,,,,136720,Marla,878
500,Depalpur,Dhulyana,Lohli Wala (Off Road),Agricultural,Off Road,,,,2062523,Acre,732
501,Depalpur,Dhulyana,Veer Kay,Commercial,Off Road,,,,199033,Marla,879
502,Depalpur,Dhulyana,Veer Kay,Residential,Off Road,,,,136720,Marla,879
503,Depalpur,Dhulyana,Veer Kay (Link Road),Agricultural,Link Road,,,,2062523,Acre,732
504,Depalpur,Dhulyana,Veer Kay (Off Road),Agricultural,Off Road,,,,18046932,Acre,732
505,Depalpur,Pipli Pahar,Abdi Diya Ram,Commercial,Off Road,,,,398068,Marla,1684
506,Depalpur,Pipli Pahar,Abdi Diya Ram,Residential,Off Road,,,,195313,Marla,878
507,Depalpur,Pipli Pahar,Ahmad Town,Commercial,Off Road,,,,1839067,Marla,1684
508,Depalpur,Pipli Pahar,Ahmad Town,Residential,Off Road,,,,515628,Marla,878
509,Depalpur,Pipli Pahar,Al Nafe Town (Sobha Raam),Residential,Off Road,,,,367500,Marla,866
510,Depalpur,Pipli Pahar,Kot Bhattyan,Commercial,Off Road,,,,1839067,Marla,1684
511,Depalpur,Pipli Pahar,Kot Bhattyan,Residential,Off Road,,,,515628,Marla,878
512,Depalpur,Pipli Pahar,Kot Waryam,Commercial,Off Road,,,,1839067,Marla,1684
513,Depalpur,Pipli Pahar,Kot Waryam,Residential,Off Road,,,,515628,Marla,878
514,Depalpur,Pipli Pahar,Land Sobharam Urban Area And Bye- Pass (Link Road),Agricultural,Link Road,,,,10312619,Acre,732
515,Depalpur,Pipli Pahar,Land Sobharam Urban Area And Bye- Pass (Main Road),Agricultural,Main Road,,,,15468957,Acre,732
516,Depalpur,Pipli Pahar,Land Sobharam Urban Area And Bye- Pass (Off Road),Agricultural,Off Road,,,,7734456,Acre,732
517,Depalpur,Pipli Pahar,Muslim Town,Commercial,Main Road,,,,840000,Marla,866
518,Depalpur,Pipli Pahar,Muslim Town,Residential,Off Road,,,,315000,Marla,866
519,Depalpur,Pipli Pahar,Naveed Kot,Commercial,Off Road,,,,1839067,Marla,1684
520,Depalpur,Pipli Pahar,Naveed Kot,Residential,Off Road,,,,515628,Marla,878
521,Depalpur,Pipli Pahar,Okara Road Kouser Pull To Hadood Baldya,Commercial,Main Road,,,,1313629,Marla,878
522,Depalpur,Pipli Pahar,Sobharam,Commercial,Off Road,,,,617925,Marla,1684
523,Depalpur,Pipli Pahar,Sobharam,Residential,Off Road,,,,363825,Marla,878
524,Depalpur,Waindla Jageer,Abadi Waseem Kot,Commercial,Off Road,,,,788177,Marla,1684
525,Depalpur,Waindla Jageer,Abadi Waseem Kot,Residential,Off Road,,,,316408,Marla,878
526,Depalpur,Waindla Jageer,Khokar Town,Commercial,Main Road,,,,479509,Marla,1464
527,Depalpur,Waindla Jageer,Land Urban Area Nazam Din (Link Road),Agricultural,Link Road,,,,10312619,Acre,732
528,Depalpur,Waindla Jageer,Land Urban Area Nazam Din (Main Road),Agricultural,Main Road,,,,15468957,Acre,732
529,Depalpur,Waindla Jageer,Land Urban Area Nazam Din (Off Road),Agricultural,Off Road,,,,5156292,Acre,732
530,Depalpur,Waindla Jageer,Mubarik Colony,Commercial,Main Road,,,,479509,Marla,1464
531,Haveli,Haveli,Al Bhra- minhaj ul quran,Commercial,Main Road,,,,185377,Marla,1464
532,Haveli,Haveli,Al Bhra- minhaj ul quran,Residential,Off Road,,,,121275,Marla,879
533,Haveli,Haveli,Al Karamat City,Commercial,Main Road,,,,449400,Marla,1464
534,Haveli,Haveli,Al Karamat City,Residential,Off Road,,,,264600,Marla,879
535,Haveli,Haveli,Al Raheem Villas,Commercial,Main Road,,,,449400,Marla,1464
536,Haveli,Haveli,Al Raheem Villas,Residential,Off Road,,,,330750,Marla,879
537,Haveli,Haveli,Anayat Model Town,Commercial,Main Road,,,,449400,Marla,1464
538,Haveli,Haveli,Anayat Model Town,Residential,Off Road,,,,264600,Marla,879
539,Haveli,Haveli,Apna Gahr,Commercial,Main Road,,,,449400,Marla,1464
540,Haveli,Haveli,Apna Gahr,Residential,Off Road,,,,264600,Marla,879
541,Haveli,Haveli,Canal View,Commercial,Main Road,,,,1460550,Marla,1464
542,Haveli,Haveli,Canal View,Residential,Off Road,,,,385875,Marla,879
543,Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a",Commercial,Off Road,,,,503004,Marla,732
544,Haveli,Haveli,Garden Town,Commercial,Main Road,,,,337050,Marla,1464
545,Haveli,Haveli,Garden Town,Residential,Off Road,,,,121275,Marla,879
546,Haveli,Haveli,Hashim Garden Phase II,Commercial,Main Road,,,,185377,Marla,1464
547,Haveli,Haveli,Hashim Garden Phase II,Residential,Off Road,,,,121275,Marla,879
548,Haveli,Haveli,Jowia Bloch,Commercial,Off Road,,,,530179,Marla,732
549,Haveli,Haveli,Kot Allah Yar Khan,Commercial,Main Road,,,,1194280,Marla,1464
550,Haveli,Haveli,Kot Allah Yar Khan,Residential,Off Road,,,,298777,Marla,879
551,Haveli,Haveli,Lahore Town Haveli Lakha,Commercial,Main Road,,,,561750,Marla,1464
552,Haveli,Haveli,Lahore Town Haveli Lakha,Residential,Off Road,,,,275625,Marla,879
553,Haveli,Haveli,MADANI HOMES,Commercial,Main Road,,,,247170,Marla,1464
554,Haveli,Haveli,MADANI HOMES,Residential,Off Road,,,,181912,Marla,879
555,Haveli,Haveli Lakha,"1/SP
Wasawewal a",Commercial,Off Road,,,,788177,Marla,1684
556,Haveli,Haveli Lakha,"1/SP
Wasawewal a",Residential,Off Road,,,,328129,Marla,878
557,Haveli,Haveli Lakha,Abadi Aadyan Wali,Commercial,Off Road,,,,1313629,Marla,878
558,Haveli,Haveli Lakha,Abadi Aadyan Wali,Residential,Off Road,,,,574224,Marla,878
559,Haveli,Haveli Lakha,Abadi Baba Allah Baksh,Commercial,Off Road,,,,1313629,Marla,878
560,Haveli,Haveli Lakha,Abadi Baba Allah Baksh,Residential,Off Road,,,,328129,Marla,878
561,Haveli,Haveli Lakha,Abadi Baba Wali Saian,Commercial,Off Road,,,,2101809,Marla,1684
562,Haveli,Haveli Lakha,Abadi Baba Wali Saian,Residential,Off Road,,,,773444,Marla,1684
563,Haveli,Haveli Lakha,Abadi Chah Pani Watyan Wali,Commercial,Off Road,,,,1050904,Marla,878
564,Haveli,Haveli Lakha,Abadi Chah Pani Watyan Wali,Residential,Off Road,,,,328129,Marla,878
565,Haveli,Haveli Lakha,Abadi Chak Bawa,Commercial,Off Road,,,,1050904,Marla,878
566,Haveli,Haveli Lakha,Abadi Chak Bawa,Residential,Off Road,,,,304691,Marla,878
567,Haveli,Haveli Lakha,Abadi Disposal Wali North,Commercial,Off Road,,,,1182269,Marla,1684
568,Haveli,Haveli Lakha,Abadi Disposal Wali North,Residential,Off Road,,,,328129,Marla,878
569,Haveli,Haveli Lakha,Abadi Fateh Muhammad Wali,Commercial,Off Road,,,,1313629,Marla,878
570,Haveli,Haveli Lakha,Abadi Fateh Muhammad Wali,Residential,Off Road,,,,328129,Marla,878
571,Haveli,Haveli Lakha,Abadi Fazal Meher Wali,Commercial,Off Road,,,,788177,Marla,1684
572,Haveli,Haveli Lakha,Abadi Fazal Meher Wali,Residential,Off Road,,,,328129,Marla,878
573,Haveli,Haveli Lakha,Abadi Ghulam Dastgeer Wali,Commercial,Off Road,,,,1050904,Marla,878
574,Haveli,Haveli Lakha,Abadi Ghulam Dastgeer Wali,Residential,Off Road,,,,328129,Marla,878
575,Haveli,Haveli Lakha,Abadi Ghulam Rasool Wali,Commercial,Off Road,,,,1182269,Marla,1684
576,Haveli,Haveli Lakha,Abadi Ghulam Rasool Wali,Residential,Off Road,,,,328129,Marla,878
577,Haveli,Haveli Lakha,Abadi Gulzar Wali,Commercial,Off Road,,,,1050904,Marla,878
578,Haveli,Haveli Lakha,Abadi Gulzar Wali,Residential,Off Road,,,,328129,Marla,878
579,Haveli,Haveli Lakha,Abadi Hafiz Jan Muhammad,Commercial,Off Road,,,,1313629,Marla,878
580,Haveli,Haveli Lakha,Abadi Hafiz Jan Muhammad,Residential,Off Road,,,,328129,Marla,878
581,Haveli,Haveli Lakha,Abadi Jawaya Baloch,Commercial,Off Road,,,,1050904,Marla,878
582,Haveli,Haveli Lakha,Abadi Jawaya Baloch,Residential,Off Road,,,,304691,Marla,878
583,Haveli,Haveli Lakha,Abadi Khair Din Wali,Commercial,Off Road,,,,1313629,Marla,878
584,Haveli,Haveli Lakha,Abadi Khair Din Wali,Residential,Off Road,,,,328129,Marla,878
585,Haveli,Haveli Lakha,Abadi Kot Sultan,Commercial,Off Road,,,,1313629,Marla,878
586,Haveli,Haveli Lakha,Abadi Kot Sultan,Residential,Off Road,,,,773444,Marla,1684
587,Haveli,Haveli Lakha,Abadi Maliyan Wali,Commercial,Off Road,,,,788177,Marla,1684
588,Haveli,Haveli Lakha,Abadi Maliyan Wali,Residential,Off Road,,,,328129,Marla,878
589,Haveli,Haveli Lakha,Abadi Mandi,Commercial,Off Road,,,,1313629,Marla,878
590,Haveli,Haveli Lakha,Abadi Mandi,Residential,Off Road,,,,574224,Marla,878
591,Haveli,Haveli Lakha,Abadi Mandi Wali,Commercial,Off Road,,,,788177,Marla,1684
592,Haveli,Haveli Lakha,Abadi Mandi Wali,Residential,Off Road,,,,328129,Marla,878
593,Haveli,Haveli Lakha,Abadi Parsa Colony,Commercial,Off Road,,,,788177,Marla,1684
594,Haveli,Haveli Lakha,Abadi Parsa Colony,Residential,Off Road,,,,328129,Marla,878
595,Haveli,Haveli Lakha,Abadi Purana Bhattha,Commercial,Off Road,,,,1313629,Marla,878
596,Haveli,Haveli Lakha,Abadi Purana Bhattha,Residential,Off Road,,,,574224,Marla,878
597,Haveli,Haveli Lakha,Abadi Rana Maqbool Wali,Commercial,Off Road,,,,788177,Marla,1684
598,Haveli,Haveli Lakha,Abadi Rana Maqbool Wali,Residential,Off Road,,,,328129,Marla,878
599,Haveli,Haveli Lakha,Abadi Raza- e-Mustafa,Commercial,Off Road,,,,3284091,Marla,2006
600,Haveli,Haveli Lakha,Abadi Raza- e-Mustafa,Residential,Off Road,,,,773444,Marla,1684
601,Haveli,Haveli Lakha,Abadi Shellor Wali,Commercial,Off Road,,,,1313629,Marla,878
602,Haveli,Haveli Lakha,Abadi Shellor Wali,Residential,Off Road,,,,574224,Marla,878
603,Haveli,Haveli Lakha,Ahmad Pura,Commercial,Off Road,,,,1182269,Marla,1684
604,Haveli,Haveli Lakha,Ahmad Pura,Residential,Off Road,,,,328129,Marla,878
605,Haveli,Haveli Lakha,Akhtar Town,Commercial,Off Road,,,,1313629,Marla,878
606,Haveli,Haveli Lakha,Akhtar Town,Residential,Off Road,,,,328129,Marla,878
607,Haveli,Haveli Lakha,Al Rehman Garden,Commercial,Off Road,,,,149537,Marla,1464
608,Haveli,Haveli Lakha,Al Rehman Garden,Residential,Off Road,,,,146742,Marla,878
609,Haveli,Haveli Lakha,Al-Abbas Colony,Commercial,Off Road,,,,1050904,Marla,878
610,Haveli,Haveli Lakha,Al-Abbas Colony,Residential,Off Road,,,,304691,Marla,878
611,Haveli,Haveli Lakha,Al-Masoom City,Commercial,Off Road,,,,1050904,Marla,878
612,Haveli,Haveli Lakha,Al-Masoom City,Residential,Off Road,,,,304691,Marla,878
613,Haveli,Haveli Lakha,Atta Markete,Commercial,Off Road,,,,6042699,Marla,2489
614,Haveli,Haveli Lakha,Atta Markete,Residential,Off Road,,,,1546895,Marla,1684
615,Haveli,Haveli Lakha,Awais Town,Commercial,Off Road,,,,1313629,Marla,878
616,Haveli,Haveli Lakha,Awais Town,Residential,Off Road,,,,328129,Marla,878
617,Haveli,Haveli Lakha,Ayoob Nagar,Commercial,Off Road,,,,1576359,Marla,1684
618,Haveli,Haveli Lakha,Ayoob Nagar,Residential,Off Road,,,,328129,Marla,878
619,Haveli,Haveli Lakha,Bagh Ali Colony,Commercial,Off Road,,,,1050904,Marla,878
620,Haveli,Haveli Lakha,Bagh Ali Colony,Residential,Off Road,,,,328129,Marla,878
621,Haveli,Haveli Lakha,Basti Shakoor Abad,Commercial,Off Road,,,,1576359,Marla,1684
622,Haveli,Haveli Lakha,Basti Shakoor Abad,Residential,Off Road,,,,421879,Marla,878
623,Haveli,Haveli Lakha,Canal Road Chungi No. 5 To Hadood Baldya,Commercial,Off Road,,,,1433057,Marla,1684
624,Haveli,Haveli Lakha,Canal Road Chungi No. 5 To Hadood Baldya,Residential,Off Road,,,,644537,Marla,878
625,Haveli,Haveli Lakha,Chah Boorbyan Wali,Commercial,Off Road,,,,1313629,Marla,878
626,Haveli,Haveli Lakha,Chah Boorbyan Wali,Residential,Off Road,,,,574224,Marla,878
627,Haveli,Haveli Lakha,Chowk Shaheedan,Commercial,Off Road,,,,1050904,Marla,878
628,Haveli,Haveli Lakha,Chowk Shaheedan,Residential,Off Road,,,,304691,Marla,878
629,Haveli,Haveli Lakha,Chowk Shahidan To Shahmand Road,Commercial,Link Road,,,,2364540,Marla,1684
630,Haveli,Haveli Lakha,Chowk Shahidan To Shahmand Road,Residential,Link Road,,,,1031261,Marla,878
631,Haveli,Haveli Lakha,Chungi No. 8 To Railway Phattak Pakpattan,Commercial,Main Road,,,,1576359,Marla,1684
632,Haveli,Haveli Lakha,Chungi No. 8 To Railway Phattak Pakpattan,Residential,Main Road,,,,1031261,Marla,878
633,Haveli,Haveli Lakha,Dewan Imlak Town,Commercial,Off Road,,,,788177,Marla,1684
634,Haveli,Haveli Lakha,Dewan Imlak Town,Residential,Off Road,,,,328129,Marla,878
635,Haveli,Haveli Lakha,Exchange Road Pull Habib Bank To Ray Plaza,Commercial,Main Road,,,,3678169,Marla,2167
636,Haveli,Haveli Lakha,Exchange Road Pull Habib Bank To Ray Plaza,Residential,Main Road,,,,1031261,Marla,878
637,Haveli,Haveli Lakha,Farid Town,Commercial,Off Road,,,,597103,Marla,1684
638,Haveli,Haveli Lakha,Farid Town,Residential,Off Road,,,,292972,Marla,878
639,Haveli,Haveli Lakha,Gehal Singh,Commercial,Off Road,,,,3678169,Marla,2167
640,Haveli,Haveli Lakha,Gehal Singh,Residential,Off Road,,,,1031261,Marla,878
641,Haveli,Haveli Lakha,Ghallah Mandi,Commercial,Main Road,,,,5779958,Marla,2489
642,Haveli,Haveli Lakha,Gol Masjad Sadaq To Sulemanki Road,Commercial,Main Road,,,,3200491,Marla,2167
643,Haveli,Haveli Lakha,Gol Masjad Sadaq To Sulemanki Road,Residential,Main Road,,,,773444,Marla,1684
644,Haveli,Haveli Lakha,Green Town,Commercial,Off Road,,,,4203619,Marla,2489
645,Haveli,Haveli Lakha,Green Town,Residential,Off Road,,,,644537,Marla,878
646,Haveli,Haveli Lakha,Haji Abdul Haq Market,Commercial,Off Road,,,,6042699,Marla,2489
647,Haveli,Haveli Lakha,Haji Abdul Haq Market,Residential,Off Road,,,,1546895,Marla,1684
648,Haveli,Haveli Lakha,Head Sulemanki Road Wapda Office To Pull Habib Bank,Commercial,Main Road,,,,3678169,Marla,2167
649,Haveli,Haveli Lakha,Head Sulemanki Road Wapda Office To Pull Habib Bank,Residential,Main Road,,,,1031261,Marla,878
650,Haveli,Haveli Lakha,Hujra Road Cold Store To Stadium,Commercial,Main Road,,,,2364540,Marla,1684
651,Haveli,Haveli Lakha,Hujra Road Cold Store To Stadium,Residential,Main Road,,,,1031261,Marla,878
652,Haveli,Haveli Lakha,Hujra Road Fazal Clinic To House Shaik Allah Baksh,Commercial,Main Road,,,,2364540,Marla,1684
653,Haveli,Haveli Lakha,Hujra Road Fazal Clinic To House Shaik Allah Baksh,Residential,Main Road,,,,902353,Marla,878
654,Haveli,Haveli Lakha,Hujra Road House Shaikh Allah Baksh To Bhutta Cold Store,Commercial,Main Road,,,,2364540,Marla,1684
655,Haveli,Haveli Lakha,Hujra Road House Shaikh Allah Baksh To Bhutta Cold Store,Residential,Main Road,,,,1031261,Marla,878
656,Haveli,Haveli Lakha,Iqbal Nagar,Commercial,Off Road,,,,919540,Marla,878
657,Haveli,Haveli Lakha,Iqbal Nagar,Residential,Off Road,,,,328129,Marla,878
658,Haveli,Haveli Lakha,Jumma Khan Road,Commercial,Off Road,,,,1050904,Marla,878
659,Haveli,Haveli Lakha,Jumma Khan Road,Residential,Off Road,,,,328129,Marla,878
660,Haveli,Haveli Lakha,"Jumma Khan Road Govt.
Hospial To Railway Phattak",Commercial,Main Road,,,,1970449,Marla,1684
661,Haveli,Haveli Lakha,"Jumma Khan Road Govt.
Hospial To Railway Phattak",Residential,Main Road,,,,773444,Marla,1684
662,Haveli,Haveli Lakha,Jundi Mohallah,Commercial,Off Road,,,,1839067,Marla,1684
663,Haveli,Haveli Lakha,Jundi Mohallah,Residential,Off Road,,,,773444,Marla,1684
664,Haveli,Haveli Lakha,Karam Shah Road,Commercial,Off Road,,,,3284091,Marla,2006
665,Haveli,Haveli Lakha,Karam Shah Road,Residential,Off Road,,,,773444,Marla,1684
666,Haveli,Haveli Lakha,Kot Allah Yar Khan,Commercial,Off Road,,,,1313629,Marla,878
667,Haveli,Haveli Lakha,Kot Allah Yar Khan,Residential,Off Road,,,,328129,Marla,878
668,Haveli,Haveli Lakha,Kot Noor-ul- Hassan (Main Road),Commercial,Main Road,,,,2364540,Marla,1684
669,Haveli,Haveli Lakha,Kot Noor-ul- Hassan (Main Road),Residential,Main Road,,,,1031261,Marla,878
670,Haveli,Haveli Lakha,Lahore Town,Commercial,Off Road,,,,448613,Marla,1464
671,Haveli,Haveli Lakha,Lahore Town,Residential,Off Road,,,,220113,Marla,878
672,Haveli,Haveli Lakha,Lari Adda To Pull Shakoor Abad Purana Cinema Road,Commercial,Main Road,,,,1839067,Marla,1684
673,Haveli,Haveli Lakha,Lari Adda To Pull Shakoor Abad Purana Cinema Road,Residential,Main Road,,,,902353,Marla,878
674,Haveli,Haveli Lakha,Madina Town,Commercial,Off Road,,,,1182269,Marla,1684
675,Haveli,Haveli Lakha,Madina Town,Residential,Off Road,,,,328129,Marla,878
676,Haveli,Haveli Lakha,Maheran Wali Market,Commercial,Off Road,,,,6042699,Marla,2489
677,Haveli,Haveli Lakha,Maheran Wali Market,Residential,Off Road,,,,1546895,Marla,1684
678,Haveli,Haveli Lakha,Main Bazar,Commercial,Main Road,,,,6568149,Marla,2811
679,Haveli,Haveli Lakha,Makkah Town,Commercial,Off Road,,,,4203619,Marla,2489
680,Haveli,Haveli Lakha,Makkah Town,Residential,Off Road,,,,644537,Marla,878
681,Haveli,Haveli Lakha,Malik Modal Town,Commercial,Off Road,,,,1313629,Marla,878
682,Haveli,Haveli Lakha,Malik Modal Town,Residential,Off Road,,,,773444,Marla,1684
683,Haveli,Haveli Lakha,Mall Godam Road,Commercial,Main Road,,,,1050904,Marla,878
684,Haveli,Haveli Lakha,Mall Godam Road,Residential,Main Road,,,,328129,Marla,878
685,Haveli,Haveli Lakha,Mansoor Wahab Town,Commercial,Off Road,,,,1313629,Marla,878
686,Haveli,Haveli Lakha,Mansoor Wahab Town,Residential,Off Road,,,,328129,Marla,878
687,Haveli,Haveli Lakha,Market Ahmad Hassan Khan Wali Sulemanki Road,Commercial,Main Road,,,,2364540,Marla,1684
688,Haveli,Haveli Lakha,Market Ahmad Hassan Khan Wali Sulemanki Road,Residential,Main Road,,,,1160171,Marla,1684
689,Haveli,Haveli Lakha,Market Bagh Ali,Commercial,Link Road,,,,6568149,Marla,2811
690,Haveli,Haveli Lakha,Market Mirza Shujahat Wali,Commercial,Off Road,,,,6042699,Marla,2489
691,Haveli,Haveli Lakha,Market Mirza Shujahat Wali,Residential,Off Road,,,,1546895,Marla,1684
692,Haveli,Haveli Lakha,Market Noor Samand,Commercial,Off Road,,,,6042699,Marla,2489
693,Haveli,Haveli Lakha,Market Noor Samand,Residential,Off Road,,,,1546895,Marla,1684
694,Haveli,Haveli Lakha,Market Yousaf Khan Wali Sadar Bazar,Commercial,Main Road,,,,2364540,Marla,1684
695,Haveli,Haveli Lakha,Market Yousaf Khan Wali Sadar Bazar,Residential,Main Road,,,,1160171,Marla,1684
696,Haveli,Haveli Lakha,Masjid Dhakki,Commercial,Off Road,,,,6042699,Marla,2489
697,Haveli,Haveli Lakha,Masjid Dhakki,Residential,Off Road,,,,1546895,Marla,1684
698,Haveli,Haveli Lakha,Masjid Gulzar Madina,Commercial,Off Road,,,,1050904,Marla,878
699,Haveli,Haveli Lakha,Masjid Gulzar Madina,Residential,Off Road,,,,328129,Marla,878
700,Haveli,Haveli Lakha,Masjid Lashker Din Wali Sdar Bazar,Commercial,Main Road,,,,6042699,Marla,2489
701,Haveli,Haveli Lakha,Masjid Lashker Din Wali Sdar Bazar,Residential,Main Road,,,,1546895,Marla,1684
702,Haveli,Haveli Lakha,Mehtekey Mehtab Ray,Commercial,Off Road,,,,1182269,Marla,1684
703,Haveli,Haveli Lakha,Mehtekey Mehtab Ray,Residential,Off Road,,,,312504,Marla,878
704,Haveli,Haveli Lakha,Mirza Naseer Baig Market Dhakki Wali,Commercial,Off Road,,,,6042699,Marla,2489
705,Haveli,Haveli Lakha,Mirza Naseer Baig Market Dhakki Wali,Residential,Off Road,,,,1546895,Marla,1684
706,Haveli,Haveli Lakha,Mirza Zahir Town,Commercial,Off Road,,,,1182269,Marla,1684
707,Haveli,Haveli Lakha,Mirza Zahir Town,Residential,Off Road,,,,328129,Marla,878
708,Haveli,Haveli Lakha,Modal Town,Commercial,Off Road,,,,1050904,Marla,878
709,Haveli,Haveli Lakha,Modal Town,Residential,Off Road,,,,304691,Marla,878
710,Haveli,Haveli Lakha,Mohallah Bohed Wala,Commercial,Off Road,,,,1313629,Marla,878
711,Haveli,Haveli Lakha,Mohallah Bohed Wala,Residential,Off Road,,,,574224,Marla,878
712,Haveli,Haveli Lakha,Mohallah Bording House,Commercial,Off Road,,,,3284091,Marla,2006
713,Haveli,Haveli Lakha,Mohallah Bording House,Residential,Off Road,,,,773444,Marla,1684
714,Haveli,Haveli Lakha,Mohallah Dhakki Wala,Commercial,Off Road,,,,2101809,Marla,1684
715,Haveli,Haveli Lakha,Mohallah Dhakki Wala,Residential,Off Road,,,,773444,Marla,1684
716,Haveli,Haveli Lakha,Mohallah Eid Gah,Commercial,Off Road,,,,2101809,Marla,1684
717,Haveli,Haveli Lakha,Mohallah Eid Gah,Residential,Off Road,,,,773444,Marla,1684
718,Haveli,Haveli Lakha,Mohallah Eid Gah North,Commercial,Off Road,,,,1839067,Marla,1684
719,Haveli,Haveli Lakha,Mohallah Eid Gah North,Residential,Off Road,,,,1160171,Marla,1684
720,Haveli,Haveli Lakha,Mohallah Faridia,Commercial,Off Road,,,,1313629,Marla,878
721,Haveli,Haveli Lakha,Mohallah Faridia,Residential,Off Road,,,,574224,Marla,878
722,Haveli,Haveli Lakha,Mohallah Imam Bargah,Commercial,Off Road,,,,1313629,Marla,878
723,Haveli,Haveli Lakha,Mohallah Imam Bargah,Residential,Off Road,,,,773444,Marla,1684
724,Haveli,Haveli Lakha,Mohallah Mandar Wala,Commercial,Off Road,,,,1313629,Marla,878
725,Haveli,Haveli Lakha,Mohallah Mandar Wala,Residential,Off Road,,,,773444,Marla,1684
726,Haveli,Haveli Lakha,Mohallah Mochi Pura,Commercial,Off Road,,,,1050904,Marla,878
727,Haveli,Haveli Lakha,Mohallah Mochi Pura,Residential,Off Road,,,,328129,Marla,878
728,Haveli,Haveli Lakha,Mohallah Nainan Mandi,Commercial,Off Road,,,,2101809,Marla,1684
729,Haveli,Haveli Lakha,Mohallah Nainan Mandi,Residential,Off Road,,,,972665,Marla,878
730,Haveli,Haveli Lakha,Mohallah Pir Islam,Commercial,Off Road,,,,1313629,Marla,878
731,Haveli,Haveli Lakha,Mohallah Pir Islam,Residential,Off Road,,,,773444,Marla,1684
732,Haveli,Haveli Lakha,Mohallah Rasool Pura,Commercial,Off Road,,,,1050904,Marla,878
733,Haveli,Haveli Lakha,Mohallah Rasool Pura,Residential,Off Road,,,,328129,Marla,878
734,Haveli,Haveli Lakha,Mohallah Rathoranwal a,Commercial,Off Road,,,,1313629,Marla,878
735,Haveli,Haveli Lakha,Mohallah Rathoranwal a,Residential,Off Road,,,,644537,Marla,878
736,Haveli,Haveli Lakha,Mohallah Shaikhan Wala,Commercial,Off Road,,,,2889989,Marla,2489
737,Haveli,Haveli Lakha,Mohallah Shaikhan Wala,Residential,Off Road,,,,1160171,Marla,1684
738,Haveli,Haveli Lakha,Mohallah Usmania,Commercial,Off Road,,,,1313629,Marla,878
739,Haveli,Haveli Lakha,Mohallah Usmania,Residential,Off Road,,,,644537,Marla,878
740,Haveli,Haveli Lakha,Mughal Market,Commercial,Off Road,,,,4729080,Marla,2972
741,Haveli,Haveli Lakha,Muhammad Yar Market,Commercial,Off Road,,,,6042699,Marla,2489
742,Haveli,Haveli Lakha,Muhammad Yar Market,Residential,Off Road,,,,1546895,Marla,1684
743,Haveli,Haveli Lakha,Mumtaz Market,Commercial,Off Road,,,,6042699,Marla,2489
744,Haveli,Haveli Lakha,Mumtaz Market,Residential,Off Road,,,,1546895,Marla,1684
745,Haveli,Haveli Lakha,Munawar Shaheed Circular Road To Hafeez Clinic,Commercial,Main Road,,,,6042699,Marla,2489
746,Haveli,Haveli Lakha,Munawar Shaheed Circular Road To Hafeez Clinic,Residential,Main Road,,,,1546895,Marla,1684
747,Haveli,Haveli Lakha,Munawar Shaheed Road,Commercial,Main Road,,,,6042699,Marla,2489
748,Haveli,Haveli Lakha,Munawar Shaheed Road,Residential,Main Road,,,,1546895,Marla,1684
749,Haveli,Haveli Lakha,Munawar Shaheed Road Hafeez Clinic To Fazal Clinic,Commercial,Main Road,,,,6042699,Marla,2489
750,Haveli,Haveli Lakha,Munawar Shaheed Road Hafeez Clinic To Fazal Clinic,Residential,Main Road,,,,1546895,Marla,1684
751,Haveli,Haveli Lakha,Munawar Shaheed Road To House Dewan Ghulam Rasool,Commercial,Main Road,,,,4729080,Marla,2972
752,Haveli,Haveli Lakha,Nai Abadi Exchange Wali,Commercial,Off Road,,,,1313629,Marla,878
753,Haveli,Haveli Lakha,Nai Abadi Exchange Wali,Residential,Off Road,,,,773444,Marla,1684
754,Haveli,Haveli Lakha,Nai Abadi Near Girls Colloge And Primary Boys School No. 4,Commercial,Main Road,,,,2364540,Marla,1684
755,Haveli,Haveli Lakha,Nai Abadi Near Girls Colloge And Primary Boys School No. 4,Residential,Main Road,,,,773444,Marla,1684
756,Haveli,Haveli Lakha,Nai Abadi Railway Road Near High School No. 1 Boys,Commercial,Main Road,,,,1839067,Marla,1684
757,Haveli,Haveli Lakha,Nai Abadi Railway Road Near High School No. 1 Boys,Residential,Main Road,,,,773444,Marla,1684
758,Haveli,Haveli Lakha,Nai Market Mehmood Khan,Commercial,Off Road,,,,2364540,Marla,1684
759,Haveli,Haveli Lakha,Nai Market Mehmood Khan,Residential,Off Road,,,,1031261,Marla,878
760,Haveli,Haveli Lakha,Noor Colony,Commercial,Off Road,,,,1050904,Marla,878
761,Haveli,Haveli Lakha,Noor Colony,Residential,Off Road,,,,304691,Marla,878
762,Haveli,Haveli Lakha,Pakpattan Road,Commercial,Off Road,,,,6042699,Marla,2489
763,Haveli,Haveli Lakha,Pakpattan Road,Residential,Off Road,,,,1546895,Marla,1684
764,Haveli,Haveli Lakha,Pakpattan Road Habib Bank To UBL Bank,Commercial,Main Road,,,,6042699,Marla,2489
765,Haveli,Haveli Lakha,Pakpattan Road Habib Bank To UBL Bank,Residential,Main Road,,,,1546895,Marla,1684
